MatchID,Home,Away,Date,Season,Text
0,Swansea,Stoke,Fri 11 May 2018 17.23 BST,2017-18,"A match many thought would have so much riding on it a few weeks ago is now effectively a dead rubber. Stoke are already condemned to the Championship and Swansea’s relegation will be confirmed at the final whistle. It promises to be a strange day, with Swansea fans planning to hold protests to vent their anger at the board and also turning up to say farewell to Àngel Rangel and Leon Britton, two club stalwarts. Stoke, like Swansea, will be glad when it is all over. Stuart James"
1,Newcastle United,Chelsea,Fri 11 May 2018 17.06 BST,2017-18,"The consensus suggests this will be Antonio Conte’s last Premier League game in charge of Chelsea. Can he use it to somehow secure a top-four finish? Newcastle fans must trust this is not Rafael Benítez’s Tyneside swansong. The negotiations between their widely coveted manager and Mike Ashley over extending a contract that has only a year to run remain delicate. Expect the Gallowgate End to, not for the first time, repeatedly sing “Rafa Benítez, we want you to stay.” Chelsea meanwhile are monitoring Newcastle’s much improved centre-half Jamaal Lascelles. He could be key to Benítez’s team ending a run of four straight defeats as they struggle to retain their grip on 10th place. Louise Taylor"
2,Tottenham,Leicester,Fri 11 May 2018 16.43 BST,2017-18,"Leicester’s 3-1 win over Arsenal on Wednesday was welcome, not least for Claude Puel but the mutterings continue that the manager is set to be replaced. Before midweek, his team had taken one point from an available 15 but three against Tottenham could drive them to an eighth-placed finish – surely a decent effort? Mauricio Pochettino worries that nothing is ever good enough for some Spurs fans. He wants to make sure of third. David Hytner"
3,Liverpool,Brighton,Fri 11 May 2018 16.33 BST,2017-18,"Complaints over Liverpool’s recent league form have been excessive, given the limited midfield and forward options available to Jürgen Klopp while guiding the club into the Champions League final, but the last day equation is straight-forward on many levels. Preserve an unbeaten home campaign against a Brighton team that has won twice on the road all season and Liverpool are in the Champions League for a second year running. As a side note, Mohamed Salah needs one more goal to become Liverpool’s record scorer in a Premier League campaign. He is currently level with Luis Suárez’s 31 goals in 2013-14. Andy Hunter"
4,Burnley,Bournemouth,Fri 11 May 2018 16.23 BST,2017-18,"Burnley are looking for their first win in five matches, against Bournemouth, but no one really cares about that at Turf Moor. Three points to see out a memorable season would be nice, but Burnley already have a hugely impressive 54 and have put themselves into Europe for the first time since 1967. No one was expecting that, though as a result Burnley will be expecting interest in Sean Dyche to resurface again over summer. “It’s the price of success,” chairman Mike Garlick said. Paul Wilson"
5,Southampton,Manchester City,Fri 11 May 2018 16.07 BST,2017-18,"Manchester City’s quest for 100 points come up against a Southampton side who are all but safe but technically still need a draw, after four away points in a week and with a 10-goal swing required if Swansea finally manage a win. Mark Hughes would give his prospects of staying an added boost with a return against the club who sacked him in 2009 and he has urged Saints to make a quick decision for next season. “It’s a well-run club, good club, and a good opportunity for whoever gets it,” said Hughes who arrived only in March. If City win they will set more records, however, for the most away wins in a Premier League season with 16, and the most points on the road, 50. “In the last few weeks these numbers have helped us keep focus,” said Guardiola, whose players secured the title on 15 April. Mark Tallentire"
6,Manchester United,Watford,Fri 11 May 2018 15.52 BST,2017-18,"Manchester United’s odd league campaign will have them end in second place whatever the result versus Watford despite José Mourinho’s side rarely exciting or convincing. The visitors arrive safe in 13th and could end as high as 10th should they beat United and, given West Brom’s victory at Old Trafford in April, they may fancy their chances. Jamie Jackson"
7,Crystal Palace,West Brom,Fri 11 May 2018 13.57 BST,2017-18,"Two of the division’s form teams meet on the final day, with the occasion little more than a celebration of the two managers. Roy Hodgson’s feat in steering Crystal Palace to safety, despite a chronic injury crisis, having been pointless in mid-October has been remarkable. Darren Moore, even only in his capacity as a caretaker, has mustered 11 points from five matches, claimed the manager of the month award for April and endured relegation on Tuesday. The hope – and it is only a hope as yet – is he is given a chance to take up the reins on a permanent basis. Dominic Fifield"
8,West Ham United,Everton,Fri 11 May 2018 11.56 BST,2017-18,"David Moyes and Sam Allardyce face their former employers knowing that they could both be out of a job soon. Wayne Rooney, who has received an offer from DC United, is unlikely to feature because of a knee injury, so fans may have missed their chance to pay tribute to a legend. Moyes and Allardyce, on the other hand, are unlikely to be mourned if they are shown the door by West Ham and Everton respectively. Jacob Steinberg"
9,Arsenal,Burnley,Sat 5 May 2018 09.00 BST,2017-18,"This is the big one in terms of Arsène Wenger’s farewell – his final home game and Arsenal have lots planned, including ‘Merci Arsène’ T-shirts for the fans. Burnley will not play the obliging guests. Were they to win, they could end up finishing sixth and squeezing Arsenal into seventh. Both clubs would enter the Europa League but Arsenal would begin in a qualifier on 26 July – currently the date of their first pre-season friendly against Atlético Madrid in Singapore. David Hytner"
10,Chelsea,Liverpool,Sat 5 May 2018 09.00 BST,2017-18,"Liverpool will arrive on a high with thoughts already fixed on the Champions League final later this month, but Chelsea could technically draw level on points with the team currently third should they win their next two fixtures. Antonio Conte’s side are clinging to the remote possibility of a top four finish, though the Italian did say Sunday’s game “could be a good opportunity to keep the hope alive”. They have belatedly found some form of sorts, with four wins in a row in all competitions. Liverpool can ill afford to be distracted. Dominic Fifield"
11,Manchester City,Huddersfield Town,Sat 5 May 2018 09.00 BST,2017-18,"On Saturday Manchester City will finally get their hands on the Premier League trophy, two weeks after claiming the crown. As always Pep Guardiola will ask his players to maintain focus as the manager’s intent is that every opposition should be blown away as West Ham were last Sunday. Huddersfield are three points above the drop zone so even a draw would be important for David Wagner’s side. Jamie Jackson"
